timestamps,SPEED,T_UUT_EM_InCoolMeas,T_UUT_EM_OutCoolMeas,TORQUE,Qcool,T_UUT_EM_Winding,Ierms_Xion_ACCalc,,,Cp [kJ/kg K],L/min,m3/s,Density kg/m3
s,rpm,°C,°C,Nm,W,°C,A,,,3350,6,0.0001,1070
0,0,23.07080078,23.03863907,0.521718621,-11.5283659,20.58606911,0.346858591,,,,,,
0.5,-4.502099037,23.07043076,23.08365059,0.120518103,4.738649273,20.58422089,0.346498787,,,,,,
1,-1.68E-05,23.06008911,23.07574081,0.570807397,5.610352898,20.57844925,0.354919404,,,,,,
1.5,0,23.07761002,23.07971001,0.673313379,0.752741718,20.57509041,0.348945588,,,,,,
2,0,23.05654907,23.0762291,-0.194638103,7.054304314,20.5760498,0.358491898,,,,,,
2.5,88.84950256,23.0519104,23.08942032,-6.314949989,13.44543018,20.58009911,0.941388011,,,,,,
3,609.9813843,23.05224991,23.08028984,-8.094941139,10.05091372,20.58353043,3.282505989,,,,,,
3.5,1147.868042,23.05794907,23.07073975,-8.019551277,4.584819221,20.58642006,6.668786049,,,,,,
4,1684.889038,23.06339073,23.08083916,-8.02214241,6.254388046,20.59926033,9.494250298,,,,,,
4.5,2221.939941,23.06963921,23.05145073,-7.980852127,-6.519659424,20.61787033,12.25249958,,,,,,
5,2758.629883,23.10161972,23.07831001,-8.045809746,-8.355364704,20.64307022,14.61616993,,,,,,
5.5,3294.721924,23.06365967,23.04449081,-8.045357704,-6.87107563,20.67802048,16.84321976,,,,,,
6,3830.499023,23.06139946,23.0517292,-8.082157135,-3.466303825,20.71873093,18.99011993,,,,,,
6.5,4367.206055,23.05541992,23.08777046,-8.365576744,11.59605112,20.76535988,21.24476051,,,,,,
7,4903.492188,23.04800034,23.04674911,-8.789190292,-0.448500061,20.82605934,23.6880703,,,,,,
7.5,5363.016113,23.06600952,23.06679916,25.81623077,0.283047295,20.8846302,26.78520966,,,,,,
8,5365.055176,23.06081963,23.07648087,16.85807991,5.613771343,20.94676971,192.6255035,,,,,,
8.5,5385.84082,23.08709908,23.07696915,-0.845763981,-3.631072903,21.00197983,28.69663048,,,,,,
9,5150.125,23.06130981,23.0661602,6.085317135,1.738621426,21.06426048,28.47689056,,,,,,
9.5,4471.813965,23.07040024,23.06458092,9.221710205,-2.085935497,21.10833931,25.79434013,,,,,,
10,4016.26001,23.07443047,23.06488037,-9.636679649,-3.423231411,21.13059044,22.23362923,,,,,,
10.5,4820.708984,23.0592308,23.07305908,-2.9748981,4.956746101,21.15716934,22.14920044,,,,,,
11,4378.611816,23.04779053,23.06921005,3.222337008,7.677828789,21.19306946,24.55726051,,,,,,
11.5,4215.939941,23.06900024,23.07885933,33.32802963,3.533989048,21.21867943,22.5008297,,,,,,
12,4407.609863,23.08871078,23.08156967,67.84300995,-2.559732056,21.23494911,231.9629974,,,,,,
12.5,4732.721191,23.05878067,23.07401085,73.26489258,5.459257603,21.25398064,351.8717957,,,,,,
13,5046.335938,23.0632,23.09273911,64.11469269,10.58829336,21.27759933,307.6285095,,,,,,
13.5,5134.975098,23.06197929,23.0685997,92.67120361,2.373084927,21.31879997,275.8486023,,,,,,
14,4169.629883,23.05913925,23.08913994,100.5633011,10.75374613,21.36521912,384.6600952,,,,,,
14.5,3882.969971,23.06125069,23.09024048,76.10823822,10.3913909,21.3910408,344.7088013,,,,,,
15,4010.514893,23.06339073,23.10754013,68.31493378,15.825352,21.43017006,311.4787903,,,,,,
15.5,4117.796875,23.09420967,23.09918022,62.80554962,1.78169384,21.47068024,281.4334106,,,,,,
16,4212.937988,23.06148911,23.13208008,60.24834824,25.30333424,21.53027916,260.7781982,,,,,,
16.5,4297.498047,23.07471085,23.17502022,56.07835007,35.95589437,21.59896088,256.3839111,,,,,,
17,4367.272949,23.06237984,23.12857056,52.06940842,23.72606344,21.6696701,228.2355957,,,,,,
17.5,4428.922852,23.06195068,23.15768051,47.81151962,34.3143568,21.75646973,220.1679993,,,,,,
